#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 58.5935  1.15003e-17  9.16961e-20      2
 58.5957  1.13103e-17  1.80933e-19      1
 58.5958  1.11297e-17  1.43348e-19      1
 58.6634  1.11769e-17  1.89933e-19      1
 58.6634  1.11550e-17  1.63397e-19      1
 58.6705  1.16343e-17  7.52503e-20      2
 58.6705  1.14707e-17  6.76781e-20      2
 58.7244  1.08141e-17  1.63921e-19      1
 58.7244  1.14072e-17  1.67583e-19      1
 58.7397  1.15087e-17  6.80327e-20      2
 58.7397  1.13201e-17  7.31411e-20      2
 58.7921  1.11656e-17  1.36633e-19      1
 58.7921  1.14224e-17  2.02239e-19      1
 58.8164  1.18028e-17  1.01321e-19      2
 58.8164  1.15240e-17  7.80263e-20      2
 58.8597  1.12798e-17  1.64881e-19      1
 58.8597  1.14038e-17  2.06121e-19      1
 58.8930  1.15600e-17  5.27128e-20      2
 58.8931  1.15859e-17  8.78396e-20      2
 58.9274  1.16538e-17  1.75468e-19      1
 58.9274  1.13324e-17  1.76887e-19      1
 58.9695  1.16287e-17  6.17971e-20      2
 58.9696  1.15150e-17  9.08701e-20      2
 58.9951  1.14336e-17  2.16679e-19      1
 58.9951  1.10840e-17  1.79053e-19      1
 59.0459  1.18165e-17  8.47346e-20      2
 59.0459  1.15356e-17  9.15606e-20      2
 59.0627  1.11655e-17  1.40653e-19      1
 59.0627  1.16482e-17  1.38042e-19      1
 59.1221  1.16817e-17  6.92669e-20      2
 59.1221  1.14956e-17  8.36738e-20      2
 59.1304  1.16316e-17  1.64196e-19      1
 59.1304  1.13427e-17  1.33576e-19      1
 59.1980  1.14990e-17  1.82804e-19      1
 59.1981  1.13046e-17  1.01336e-19      1
 59.1982  1.17003e-17  7.20940e-20      2
 59.1982  1.16523e-17  7.82470e-20      2
