#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
 85.9480  9.17435e-19  1.50968e-19      4      1
 86.0098  1.12573e-18  1.67006e-19      4      1
 86.0715  1.14192e-18  9.55245e-20      4      1
 86.1332  7.62006e-19  2.52629e-19      4      1
 86.1949  1.38285e-18  4.09750e-19      4      1
102.9062  9.50231e-19  6.94870e-20      5      1
103.0418  8.86851e-19  3.38159e-20      5      1
103.1774  8.72505e-19  2.18670e-20      5      1
103.3129  9.00509e-19  2.57080e-20      5      1
103.4484  8.78006e-19  2.48226e-20      5      1
103.5838  8.82750e-19  1.81989e-20      5      1
103.7191  8.94447e-19  2.09970e-20      5      1
103.8409  9.11728e-19  4.01141e-20      5      1
103.9761  8.30756e-19  1.25312e-20      5      1
104.1113  8.48590e-19  1.52036e-20      5      1
104.2465  8.81033e-19  2.24413e-20      5      1
104.3816  8.49321e-19  1.10150e-20      5      1
104.5166  8.67885e-19  1.54495e-20      5      1
104.6516  8.56217e-19  3.62293e-20      5      1
104.7866  8.53706e-19  2.18219e-20      5      1
104.9215  8.62889e-19  2.81792e-20      5      1
105.0563  8.60693e-19  2.41304e-20      5      1
105.1911  8.44376e-19  2.10107e-20      5      1
